[2026-01-09T09:46:49.237+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-09T09:46:49.260+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-09T09:45:00+00:00 [queued]>
[2026-01-09T09:46:49.267+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-09T09:45:00+00:00 [queued]>
[2026-01-09T09:46:49.268+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-09T09:46:49.276+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-09 09:45:00+00:00
[2026-01-09T09:46:49.284+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-09T09:45:00+00:00', '--job-id', '853', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpo7eu7kp2']
[2026-01-09T09:46:49.286+0000] {standard_task_runner.py:91} INFO - Job 853: Subtask download_minio
[2026-01-09T09:46:49.286+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=666163) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-09T09:46:49.287+0000] {standard_task_runner.py:64} INFO - Started process 666185 to run task
[2026-01-09T09:46:49.361+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-09T09:45:00+00:00 [running]> on host ac09941d8f45
[2026-01-09T09:46:49.452+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-09T09:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-09T09:45:00+00:00'
[2026-01-09T09:46:49.458+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-09T09:46:49.733+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767843763.json -> /tmp/minio_downloads/1767843763.json
[2026-01-09T09:46:49.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767843772.json -> /tmp/minio_downloads/1767843772.json
